fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;443.898;0;482;Strasbourg;1;13;134;6;253.117
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;11.8094;0;482;Strasbourg;1;13;134;6;12.572
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;11.8094;0;482;Strasbourg;1;13;134;6;0.274
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;391.675;0;482;Strasbourg;1;13;134;6;391.647
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;338.735;0;482;Strasbourg;1;13;134;6;337.166
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;401.553;0;482;Strasbourg;1;13;134;6;186.904
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;401.553;0;482;Strasbourg;1;13;134;6;213.696
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;10;0;482;Strasbourg;1;12;124;4;11.547
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;10;0;482;Strasbourg;1;12;124;4;9.501
144;31683;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;17867.6565;1.7868;647.23;BD ORTHO 2011;75;17869;0;0;11.6072;0;482;Strasbourg;1;13;134;6;11.608
